#time =  2.4000250E+02
#  y  y+  u  u+  v+  w+ uu+ vv+ ww+ uv+


#x =  8.0000000E+00
  1.123390307E-01  6.095438197E+01  6.123168551E-01  1.354201220E+01 -1.533528915E-01 -1.332202197E-02  6.932570397E+00  3.187487756E+00  4.403564221E+00 -2.147064755E+00
  1.167717431E-01  6.335954109E+01  6.204203003E-01  1.372122816E+01 -1.583868068E-01 -1.179325642E-02  6.978424868E+00  3.206281751E+00  4.404349550E+00 -2.184436342E+00
  1.213681945E-01  6.585354387E+01  6.289048994E-01  1.390887373E+01 -1.634479392E-01 -1.026473566E-02  7.027849453E+00  3.218773791E+00  4.397061719E+00 -2.220286466E+00
  1.261342705E-01  6.843958379E+01  6.377997210E-01  1.410559178E+01 -1.685116567E-01 -9.080357435E-03  7.080346422E+00  3.225106634E+00  4.380243347E+00 -2.254086682E+00
  1.310760559E-01  7.112096237E+01  6.471336470E-01  1.431202108E+01 -1.735018194E-01 -8.266591834E-03  7.133240065E+00  3.225257682E+00  4.353135303E+00 -2.284673334E+00
  1.361998402E-01  7.390109236E+01  6.569368978E-01  1.452882998E+01 -1.782883475E-01 -7.403764902E-03  7.181302602E+00  3.218801566E+00  4.315982493E+00 -2.310255948E+00
  1.415121241E-01  7.678350090E+01  6.672430406E-01  1.475676085E+01 -1.827614090E-01 -5.806185154E-03  7.219353734E+00  3.204748154E+00  4.271150370E+00 -2.329376393E+00
  1.470196249E-01  7.977183278E+01  6.780891311E-01  1.499663321E+01 -1.870806867E-01 -3.408139366E-03  7.252108622E+00  3.181695455E+00  4.226576012E+00 -2.343893293E+00
  1.527292828E-01  8.286985372E+01  6.894687699E-01  1.524830553E+01 -1.910465874E-01 -7.221591570E-04  7.272676116E+00  3.149007075E+00  4.175203358E+00 -2.350502481E+00
  1.586482671E-01  8.608145371E+01  7.013994945E-01  1.551216568E+01 -1.948749642E-01  1.225423368E-03  7.269510461E+00  3.103250021E+00  4.105230442E+00 -2.350812740E+00
  1.647839823E-01  8.941065036E+01  7.138632514E-01  1.578781439E+01 -1.983683093E-01  2.860343594E-03  7.250405601E+00  3.047135092E+00  4.023927437E+00 -2.344329587E+00
  1.711440742E-01  9.286159228E+01  7.268316076E-01  1.607462282E+01 -2.013820709E-01  4.042847943E-03  7.212821430E+00  2.982882089E+00  3.928191660E+00 -2.329698079E+00
  1.777364365E-01  9.643856255E+01  7.402699914E-01  1.637182640E+01 -2.038320635E-01  4.411933520E-03  7.150580848E+00  2.912091415E+00  3.812119137E+00 -2.305446187E+00
  1.845692172E-01  1.001459821E+02  7.541383458E-01  1.667853921E+01 -2.056678162E-01  3.749388285E-03  7.059098018E+00  2.835756420E+00  3.673110335E+00 -2.270349066E+00
  1.916508245E-01  1.039884134E+02  7.683898286E-01  1.699372529E+01 -2.068551231E-01  2.203299320E-03  6.938213737E+00  2.754220732E+00  3.514971698E+00 -2.223708957E+00
  1.989899338E-01  1.079705633E+02  7.829680120E-01  1.731613670E+01 -2.073711158E-01  2.953664017E-04  6.791833641E+00  2.667121042E+00  3.346897556E+00 -2.165442053E+00
  2.065954936E-01  1.120972876E+02  7.978046207E-01  1.764426344E+01 -2.072099724E-01 -1.330517159E-03  6.624214995E+00  2.573443817E+00  3.178245637E+00 -2.095871446E+00
  2.144767323E-01  1.163735932E+02  8.128226910E-01  1.797640340E+01 -2.063864707E-01 -2.377200242E-03  6.434040467E+00  2.471980419E+00  3.011262618E+00 -2.015196807E+00
  2.226431641E-01  1.208046427E+02  8.279548231E-01  1.831106594E+01 -2.049045272E-01 -3.372495167E-03  6.209691208E+00  2.362724989E+00  2.838114980E+00 -1.922802502E+00
  2.311045957E-01  1.253957570E+02  8.431938988E-01  1.864809365E+01 -2.026235783E-01 -5.649986362E-03  5.932879144E+00  2.250174563E+00  2.655821183E+00 -1.816961740E+00
  2.398711325E-01  1.301524193E+02  8.585260403E-01  1.898717961E+01 -1.994027373E-01 -1.014532942E-02  5.586627442E+00  2.129858148E+00  2.452980321E+00 -1.702547523E+00
  2.489531845E-01  1.350802780E+02  8.736714975E-01  1.932213686E+01 -1.957429572E-01 -1.416665655E-02  5.151420449E+00  1.993936242E+00  2.212085013E+00 -1.581007843E+00
  2.583614725E-01  1.401851501E+02  8.884877933E-01  1.964981436E+01 -1.915403640E-01 -1.548648189E-02  4.680462538E+00  1.856348208E+00  1.977814006E+00 -1.450651220E+00
  2.681070340E-01  1.454730244E+02  9.028024755E-01  1.996639817E+01 -1.868575654E-01 -1.408137603E-02  4.199646562E+00  1.718033397E+00  1.754624940E+00 -1.314750766E+00
  2.782012288E-01  1.509500648E+02  9.164727393E-01  2.026873000E+01 -1.817804044E-01 -1.091619422E-02  3.712668382E+00  1.579888195E+00  1.545878908E+00 -1.175319453E+00
  2.886557447E-01  1.566226129E+02  9.293755230E-01  2.055408823E+01 -1.764075746E-01 -7.217171708E-03  3.216851496E+00  1.442805794E+00  1.353068637E+00 -1.033990515E+00
  2.994826028E-01  1.624971913E+02  9.413953128E-01  2.081991815E+01 -1.708474150E-01 -3.906896784E-03  2.715802825E+00  1.307638553E+00  1.175454480E+00 -8.927454957E-01
  3.106941622E-01  1.685805060E+02  9.524122247E-01  2.106356840E+01 -1.652237835E-01 -1.324355851E-03  2.225746646E+00  1.175089573E+00  1.010335868E+00 -7.543149323E-01
  3.223031253E-01  1.748794491E+02  9.622950460E-01  2.128213708E+01 -1.596901264E-01  6.873917514E-04  1.773026391E+00  1.045589301E+00  8.541711013E-01 -6.221201491E-01
  3.343225416E-01  1.814011014E+02  9.709070070E-01  2.147259939E+01 -1.544452184E-01  2.354865176E-03  1.382649302E+00  9.193014006E-01  7.046765663E-01 -4.997599894E-01
  3.467658122E-01  1.881527340E+02  9.781364668E-01  2.163248627E+01 -1.497338876E-01  3.466070423E-03  1.063144145E+00  7.965506180E-01  5.638419156E-01 -3.903274516E-01
  3.596466930E-01  1.951418110E+02  9.839708941E-01  2.176152058E+01 -1.457990250E-01  3.448745868E-03  8.033280322E-01  6.792038646E-01  4.414231470E-01 -2.963391293E-01
  3.729792981E-01  2.023759904E+02  9.886327921E-01  2.186462322E+01 -1.427018758E-01  3.276757637E-03  6.083378125E-01  5.720814601E-01  3.529467796E-01 -2.214612982E-01
  3.867781024E-01  2.098631263E+02  9.922768182E-01  2.194521457E+01 -1.399757949E-01  2.838271572E-03  4.257461539E-01  4.621663143E-01  2.485092033E-01 -1.588313418E-01
  4.010579434E-01  2.176112693E+02  9.950236887E-01  2.200596442E+01 -1.378732599E-01  2.332877827E-03  3.039441911E-01  3.743407150E-01  1.825267785E-01 -1.095575842E-01
  4.158340226E-01  2.256286678E+02  9.969981981E-01  2.204963271E+01 -1.362980512E-01  1.841746365E-03  2.220697643E-01  3.023693448E-01  1.366720083E-01 -7.307937177E-02
  4.311219065E-01  2.339237680E+02  9.983482378E-01  2.207949022E+01 -1.351501983E-01  1.357207997E-03  1.659999354E-01  2.425161604E-01  1.015666462E-01 -4.726379250E-02
  4.469375262E-01  2.425052140E+02  9.992251165E-01  2.209888328E+01 -1.343319841E-01  8.625040506E-04  1.267906702E-01  1.927708853E-01  7.368829190E-02 -2.942183851E-02
  4.632971766E-01  2.513818473E+02  9.997658790E-01  2.211084280E+01 -1.337545623E-01  3.841006614E-04  9.903722601E-02  1.520617979E-01  5.238242518E-02 -1.715196554E-02
  4.802175150E-01  2.605627060E+02  1.000080458E+00  2.211780004E+01 -1.333443059E-01  2.480151615E-06  7.931415881E-02  1.195729525E-01  3.745466473E-02 -8.848415202E-03
  4.977155577E-01  2.700570231E+02  1.000246382E+00  2.212146962E+01 -1.330473635E-01 -1.856791814E-04  6.501232237E-02  9.429234681E-02  2.780613825E-02 -3.741305695E-03
  5.158086769E-01  2.798742246E+02  1.000312779E+00  2.212293804E+01 -1.328299820E-01 -1.447081760E-04  5.389513281E-02  7.489489334E-02  2.140662955E-02 -1.438386323E-03
  5.345145955E-01  2.900239268E+02  1.000312983E+00  2.212294257E+01 -1.326708402E-01  2.373988505E-05  4.445586766E-02  5.998664375E-02  1.646583223E-02 -1.160619993E-03
  5.538513808E-01  3.005159329E+02  1.000280325E+00  2.212222030E+01 -1.325398192E-01  9.903764459E-05  3.657671249E-02  4.856963183E-02  1.280246502E-02 -1.270773677E-03
  5.738374381E-01  3.113602295E+02  1.000253397E+00  2.212162476E+01 -1.323551130E-01  3.508966484E-05  3.092515132E-02  4.027972042E-02  1.089558186E-02 -3.782566473E-04
  5.944915007E-01  3.225669812E+02  1.000224842E+00  2.212099323E+01 -1.321498083E-01  3.851959450E-05  2.504609279E-02  3.289032541E-02  7.959156895E-03 -5.263159716E-04
  6.158326211E-01  3.341465257E+02  1.000186134E+00  2.212013717E+01 -1.319398929E-01 -9.446796108E-06  2.057717212E-02  2.692296131E-02  6.119603599E-03 -5.777547016E-04
