#time =  2.1800250E+02
#  y  y+  u  u+  v+  w+ uu+ vv+ ww+ uv+


#x =  8.0000000E+00
  6.841733724E-01  7.868976757E+02  1.000629918E+00  2.088010272E+01  5.096051994E-03  1.107859139E-05  9.795686095E-03  1.316232732E-02  3.477143996E-03  1.803386340E-05
  7.084591738E-01  8.148298366E+02  1.000530298E+00  2.087802394E+01  4.385047763E-03 -2.613957377E-06  7.678140296E-03  1.023781821E-02  2.552586082E-03 -7.611456722E-05
  7.335316053E-01  8.436667350E+02  1.000428431E+00  2.087589829E+01  3.654483785E-03 -1.010778076E-05  6.048825115E-03  7.981306550E-03  1.873226191E-03 -1.281373407E-04
  7.594113252E-01  8.734321311E+02  1.000320777E+00  2.087365188E+01  2.910007978E-03 -5.422682550E-06  4.922884128E-03  6.453414314E-03  1.496795610E-03 -7.304057445E-05
  7.861191913E-01  9.041500144E+02  1.000207424E+00  2.087128655E+01  2.159138015E-03  4.705340330E-06  4.102006833E-03  5.392119420E-03  1.278400226E-03  2.291148041E-05
  8.136762361E-01  9.358445751E+02  1.000092175E+00  2.086888164E+01  1.403037261E-03  7.620534217E-06  3.346615143E-03  4.389896559E-03  1.020077833E-03  4.471106707E-05
  8.421036387E-01  9.685401724E+02  9.999797037E-01  2.086653472E+01  6.319436855E-04 -1.153653257E-06  2.650626985E-03  3.326966875E-03  7.192105332E-04 -1.505948918E-05
  8.714226961E-01  1.002261301E+03  9.998695278E-01  2.086423568E+01 -1.610265927E-04 -6.136472635E-06  2.269276112E-03  2.782396824E-03  6.129914722E-04  3.455310918E-05
  9.016547902E-01  1.037032552E+03  9.997518074E-01  2.086177921E+01 -9.420502335E-04  6.801341644E-06  1.889608955E-03  3.004952344E-03  4.959609950E-04  1.840635445E-04
  9.328213537E-01  1.072878578E+03  9.996380157E-01  2.085940473E+01 -1.748592444E-03 -1.438596385E-06  1.459979809E-03  1.661107711E-03  3.425469784E-04 -2.048874024E-05
  9.649438326E-01  1.109824044E+03  9.995207138E-01  2.085695699E+01 -2.552450292E-03 -1.056368658E-06  1.180977323E-03  1.302173586E-03  2.568865841E-04 -2.938612048E-05
  9.980436462E-01  1.147893585E+03  9.994023168E-01  2.085448641E+01 -3.363295505E-03  5.518921014E-07  9.764849750E-04  1.184419946E-03  2.000196774E-04  2.390936037E-07
  1.032142144E+00  1.187111757E+03  9.992843438E-01  2.085202467E+01 -4.180859609E-03  8.930570533E-07  8.107915497E-04  1.022470628E-03  1.547799878E-04  1.014381241E-05
  1.067260562E+00  1.227502984E+03  9.991674312E-01  2.084958506E+01 -5.001202311E-03  1.929410323E-07  6.723158820E-04  8.003365258E-04  1.168672759E-04 -7.261083085E-07
  1.103419972E+00  1.269091500E+03  9.990515330E-01  2.084716662E+01 -5.821175980E-03 -4.665191579E-07  5.594838405E-04  6.033710734E-04  8.711822306E-05 -1.278066484E-05
  1.140641232E+00  1.311901296E+03  9.989362985E-01  2.084476202E+01 -6.640341396E-03 -4.178998236E-07  4.708523984E-04  4.952114662E-04  6.607781626E-05 -1.188054437E-05
  1.178944930E+00  1.355956052E+03  9.988215633E-01  2.084236785E+01 -7.460060884E-03  1.171257387E-07  4.010498990E-04  4.603881977E-04  5.171085633E-05 -6.668338298E-07
  1.218351330E+00  1.401279075E+03  9.987077932E-01  2.083999381E+01 -8.280418721E-03  3.869155166E-07  3.428037114E-04  4.227346952E-04  4.043165104E-05  6.460422835E-06
  1.258880313E+00  1.447893227E+03  9.985961816E-01  2.083766482E+01 -9.097192437E-03  2.799422966E-08  2.928629070E-04  3.284446447E-04  3.037820887E-05  9.703979609E-07
